Title: Abundances and Kinematics of Field Halo and Disk Stars I: Observational Data and Abundance Analysis
NOTE: 
Authors: Fulbright J.P.
Table: Lines and Oscillator Strengths
================================================================================
Byte-by-byte Description of file
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1-  5  A5    ---     Name      Element name
   7- 13  F7.2  0.1nm   Wave      Wavelength in Angstroms
  15- 18  F4.2  eV      EP        Excitation potential
  20- 25  F6.3  [-]     log(gf)   ? Log of the oscillator strength
      27  A1    ---   f_log(gf)   Indicates hyperfine splitting
  29- 53  A25   ---     Ref       Reference
--------------------------------------------------------------------------------
Fe I  4005.24 1.56 -0.61    NIST
Fe I  4009.71 2.22 -1.25    NIST
Fe I  4018.27 3.27 -1.23    NIST
Fe I  4049.33 2.59 -2.44    NIST
Fe I  4055.04 2.56 -1.92    NIST
Fe I  4066.58 2.99 -1.58    NIST
Fe I  4073.76 3.27 -0.90    NIST
Fe I  4076.63 3.21 -0.53    NIST
Fe I  4079.84 2.86 -1.36    NIST
Fe I  4095.97 2.59 -1.48    NIST
Fe I  4109.80 2.85 -0.94    NIST
Fe I  4121.80 2.83 -1.45    NIST
Fe I  4137.00 3.41 -0.45    NIST
Fe I  4143.41 3.05 -0.20    NIST
Fe I  4147.67 1.48 -2.10    NIST
Fe I  4156.67 2.95 -1.82    NIST
Fe I  4177.59 0.91 -3.06    NIST
Fe I  4187.79 2.43 -0.55    NIST
Fe I  4195.33 3.33 -0.49    NIST
Fe I  4198.25 3.37 -0.46    NIST
Fe I  4203.94 3.63 -0.99    NIST
Fe I  4215.42 2.99 -1.76    NIST
Fe I  4219.41 2.99 -1.90    NIST
Fe I  4224.17 3.37 -0.51    NIST
Fe I  4239.85 2.69 -1.64    NIST
Fe I  4250.12 2.47 -0.41    NIST
Fe I  4266.96 2.73 -1.81    NIST
Fe I  4271.76 1.48 -0.16    NIST
Fe I  4288.15 2.76 -2.06    NIST
Fe I  4299.63 3.02 -2.18    NIST
Fe I  4325.76 1.61 0.01    NIST
Fe I  4343.70 3.05 -1.80    NIST
Fe I  4388.41 3.60 -0.68    NIST
Fe I  4433.78 3.60 -1.27    NIST
Fe I  4442.34 2.20 -1.25    NIST
Fe I  4446.83 3.69 -1.32    NIST
Fe I  4456.33 3.05 -2.17    NIST
Fe I  4459.12 2.18 -1.28    NIST
Fe I  4466.55 2.83 -0.60    NIST
Fe I  4476.02 2.85 -0.82    NIST
Fe I  4482.17 0.11 -3.50    NIST
Fe I  4484.22 3.60 -0.86    NIST
Fe I  4528.61 2.18 -0.82    NIST
Fe I  4592.65 1.56 -2.45    NIST
Fe I  4632.91 1.61 -2.91    NIST
Fe I  4667.45 3.60 -0.75    NIST
Fe I  4678.85 3.60 -0.83    NIST
Fe I  4710.28 3.02 -1.61    NIST
Fe I  4786.81 3.02 -1.61    NIST
Fe I  4789.65 3.55 -0.96    NIST
Fe I  4800.65 4.14 -1.03    NIST
Fe I  4859.74 2.88 -0.76    NIST
Fe I  4871.32 2.87 -0.36    NIST
Fe I  4891.49 2.85 -0.11    NIST
Fe I  4957.30 2.85 -0.41    NIST
Fe I  4994.13 0.91 -3.08    NIST
Fe I  5041.76 1.48 -2.20    NIST
Fe I  5051.63 0.91 -2.79    NIST
Fe I  5083.34 0.96 -2.96    NIST
Fe I  5099.08 3.98 -1.26    NIST
Fe I  5107.45 0.99 -3.09    NIST
Fe I  5139.46 2.94 -0.51    NIST
Fe I  5191.45 3.04 -0.55    NIST
Fe I  5198.71 2.22 -2.13    NIST
Fe I  5208.59 3.24 -0.90    NIST
Fe I  5232.94 2.94 -0.06    NIST
Fe I  5263.31 3.27 -0.88    NIST
Fe I  5269.54 0.86 -1.32    NIST
Fe I  5302.30 3.28 -0.72    NIST
Fe I  5326.14 3.57 -2.07    NIST
Fe I  5371.49 0.96 -1.65    NIST
Fe I  5412.78 4.43 -1.72    NIST
Fe I  5434.52 1.01 -2.12    NIST
Fe I  5476.29 4.14 -0.94    NIST
Fe I  5506.78 0.99 -2.80    NIST
Fe I  5525.54 4.23 -1.08    NIST
Fe I  5594.65 4.55 -0.66    NIST
Fe I  5658.82 3.40 -0.84    NIST
Fe I  5705.46 4.30 -1.35    NIST
Fe I  5753.12 4.26 -0.69    NIST
Fe I  5816.37 4.55 -0.60    NIST
Fe I  5855.08 4.61 -1.48    NIST
Fe I  5916.25 2.45 -2.99    NIST
Fe I  6065.48 2.61 -1.53    NIST
Fe I  6137.69 2.59 -1.40    NIST
Fe I  6230.72 2.56 -1.28    NIST
Fe I  6246.32 3.60 -0.88    NIST
Fe I  6265.13 2.18 -2.55    NIST
Fe I  6297.79 2.22 -2.74    NIST
Fe I  6411.65 3.65 -0.72    NIST
Fe I  6481.87 2.28 -2.98    NIST
Fe I  6945.20 2.42 -2.48    NIST
Fe I  6978.85 2.48 -2.50    NIST
Fe II  4948.79 10.35 -0.03    NIST
Fe II  4977.03 10.36 -0.04    NIST
Fe II  4984.49 10.33 0.08    NIST
Fe II  5022.79 10.29 -0.09    NIST
Fe II  5100.73 10.38 0.72    NIST
Fe II  5144.35 10.47 0.31    NIST
Fe II  5157.29 10.46 -0.17    NIST
Fe II  5203.63 10.39 -0.11    NIST
Fe II  5216.86 10.48 0.67    NIST
Fe II  5264.18 10.50 0.30    NIST
Fe II  5270.03 10.50 -0.20    NIST
Fe II  5306.18 10.52 0.04    NIST
Fe II  5316.21 10.42 0.34    NIST
Fe II  5362.97 10.50 -0.21    NIST
Fe II  5395.85 10.60 0.28    NIST
Fe II  5444.39 10.60 -0.17    NIST
Fe II  5465.93 10.62 0.35    NIST
Fe II  5492.08 10.62 0.09    NIST
Fe II  5503.22 10.50 -0.12    NIST
Fe II  5507.07 10.52 -0.06    NIST
Fe II  5532.09 10.52 -0.10    NIST
Fe II  5577.91 10.60 -0.11    NIST
Fe II  5645.39 10.56 0.19    NIST
Fe II  5783.62 10.71 0.37    NIST
Fe II  5948.42 10.74 -0.20    NIST
Fe II  5961.71 10.68 0.67    NIST
Fe II  6414.26 11.05 -0.21    NIST
Fe II  6495.21 11.09 0.07    NIST
Fe II  6534.47 11.08 0.07    NIST
Fe II  6543.80 11.00 0.14    NIST
Fe II  6550.86 11.09 -0.12    NIST
Fe II  6803.14 11.23 -0.28    NIST
Fe II  6857.85 11.22 0.61    NIST
Fe II  6922.03 11.15 0.95    NIST
Fe II  6975.76 11.27 -0.25    NIST
Fe II  7093.96 11.26 -0.31    NIST
